"Worker ID","ImageOnly #1: ID","ImageOnly #1: Emotions","ImageOnly #1: Other Emotions","ImageOnly #2: ID","ImageOnly #2: Emotions","ImageOnly #2: Other Emotions","ImageOnly #3: ID","ImageOnly #3: Emotions","ImageOnly #3: Other Emotions","ImageOnly #4: ID","ImageOnly #4: Emotions","ImageOnly #4: Other Emotions","ImageOnly #5: ID","ImageOnly #5: Emotions","ImageOnly #5: Other Emotions","TitleOnly #1: ID","TitleOnly #1: Emotions","TitleOnly #1: Other Emotions","TitleOnly #2: ID","TitleOnly #2: Emotions","TitleOnly #2: Other Emotions","TitleOnly #3: ID","TitleOnly #3: Emotions","TitleOnly #3: Other Emotions","TitleOnly #4: ID","TitleOnly #4: Emotions","TitleOnly #4: Other Emotions","TitleOnly #5: ID","TitleOnly #5: Emotions","TitleOnly #5: Other Emotions","Art (image+title) #1: ID","Art (image+title) #1: Emotions","Art (image+title) #1: Other Emotions","Art (image+title) #1: Is painting","Art (image+title) #1: Face/body","Art (image+title) #1: Art rating","Art (image+title) #2: ID","Art (image+title) #2: Emotions","Art (image+title) #2: Other Emotions","Art (image+title) #2: Is painting","Art (image+title) #2: Face/body","Art (image+title) #2: Art rating","Art (image+title) #3: ID","Art (image+title) #3: Emotions","Art (image+title) #3: Other Emotions","Art (image+title) #3: Is painting","Art (image+title) #3: Face/body","Art (image+title) #3: Art rating","Art (image+title) #4: ID","Art (image+title) #4: Emotions","Art (image+title) #4: Other Emotions","Art (image+title) #4: Is painting","Art (image+title) #4: Face/body","Art (image+title) #4: Art rating","Art (image+title) #5: ID","Art (image+title) #5: Emotions","Art (image+title) #5: Other Emotions","Art (image+title) #5: Is painting","Art (image+title) #5: Face/body","Art (image+title) #5: Art rating"
worker_1,57728030edc2cb3880f07e00,surprise,,57726f0dedc2cb3880b94625,"happiness
love",,577284aeedc2cb3880fe8ca7,anticipation,,57728500edc2cb3880ffb2bc,surprise,,57728703edc2cb3880061039,surprise,,577284aeedc2cb3880fe8ca7,surprise,,57728703edc2cb3880061039,trust,,57728500edc2cb3880ffb2bc,anticipation,,57726f0dedc2cb3880b94625,love,,57728030edc2cb3880f07e00,happiness,,577284aeedc2cb3880fe8ca7,anticipation,,yes,"face
body",0,57728500edc2cb3880ffb2bc,disgust,,yes,none,-2,57728030edc2cb3880f07e00,surprise,,yes,none,0,57726f0dedc2cb3880b94625,"happiness
love",,yes,"face
body",3,57728703edc2cb3880061039,trust,,yes,none,3
worker_2,57728030edc2cb3880f07e00,anticipation,,57726f0dedc2cb3880b94625,"trust
love
arrogance
anticipation",,577284aeedc2cb3880fe8ca7,"fear
regret
sadness
shame",,57728500edc2cb3880ffb2bc,happiness,,57728703edc2cb3880061039,fear,,577284aeedc2cb3880fe8ca7,anger,,57728703edc2cb3880061039,trust,,57728500edc2cb3880ffb2bc,"anticipation
surprise",,57726f0dedc2cb3880b94625,"love
optimism",,57728030edc2cb3880f07e00,anticipation,,577284aeedc2cb3880fe8ca7,"anger
disgust
fear
sadness",,yes,"face
body",-2,57728500edc2cb3880ffb2bc,happiness,,yes,none,-3,57728030edc2cb3880f07e00,surprise,,no,none,-3,57726f0dedc2cb3880b94625,"trust
happiness
love
optimism
arrogance",,yes,"face
body",3,57728703edc2cb3880061039,"anger
fear",,yes,none,2
worker_3,57728030edc2cb3880f07e00,disgust,,57726f0dedc2cb3880b94625,happiness,,577284aeedc2cb3880fe8ca7,"fear
disagreeableness",,57728500edc2cb3880ffb2bc,disgust,,57728703edc2cb3880061039,disgust,,577284aeedc2cb3880fe8ca7,fear,,57728703edc2cb3880061039,disgust,,57728500edc2cb3880ffb2bc,disgust,,57726f0dedc2cb3880b94625,love,,57728030edc2cb3880f07e00,happiness,,577284aeedc2cb3880fe8ca7,"fear
disagreeableness",,yes,body,0,57728500edc2cb3880ffb2bc,disgust,,yes,none,0,57728030edc2cb3880f07e00,disgust,,yes,none,0,57726f0dedc2cb3880b94625,"happiness
love",,yes,body,1,57728703edc2cb3880061039,disgust,,yes,none,0
worker_4,57728030edc2cb3880f07e00,anticipation,,57726f0dedc2cb3880b94625,"happiness
optimism",,577284aeedc2cb3880fe8ca7,sadness,,57728500edc2cb3880ffb2bc,anticipation,,57728703edc2cb3880061039,surprise,,577284aeedc2cb3880fe8ca7,anger,,57728703edc2cb3880061039,anticipation,,57728500edc2cb3880ffb2bc,anticipation,,57726f0dedc2cb3880b94625,"happiness
love",,57728030edc2cb3880f07e00,humility,,577284aeedc2cb3880fe8ca7,anger,,yes,"face
body",3,57728500edc2cb3880ffb2bc,surprise,,yes,none,3,57728030edc2cb3880f07e00,surprise,,no,none,3,57726f0dedc2cb3880b94625,"happiness
optimism",,yes,"face
body",3,57728703edc2cb3880061039,surprise,,yes,none,2
worker_5,57728030edc2cb3880f07e00,"anticipation
surprise",,57726f0dedc2cb3880b94625,"happiness
love",,577284aeedc2cb3880fe8ca7,"anger
sadness",,57728500edc2cb3880ffb2bc,surprise,,57728703edc2cb3880061039,"anger
fear",,577284aeedc2cb3880fe8ca7,anger,,57728703edc2cb3880061039,fear,,57728500edc2cb3880ffb2bc,happiness,,57726f0dedc2cb3880b94625,love,,57728030edc2cb3880f07e00,anticipation,,577284aeedc2cb3880fe8ca7,"anger
sadness",,yes,"face
body",3,57728500edc2cb3880ffb2bc,fear,,yes,none,-1,57728030edc2cb3880f07e00,anticipation,,no,none,-2,57726f0dedc2cb3880b94625,"happiness
love",,yes,"face
body",3,57728703edc2cb3880061039,"love
anger",,yes,none,3
worker_6,57728030edc2cb3880f07e00,disgust,,57726f0dedc2cb3880b94625,trust,,577284aeedc2cb3880fe8ca7,trust,,57728500edc2cb3880ffb2bc,disgust,,57728703edc2cb3880061039,disgust,,577284aeedc2cb3880fe8ca7,trust,,57728703edc2cb3880061039,anticipation,,57728500edc2cb3880ffb2bc,disgust,,57726f0dedc2cb3880b94625,disgust,,57728030edc2cb3880f07e00,anticipation,,577284aeedc2cb3880fe8ca7,trust,,yes,"face
body",1,57728500edc2cb3880ffb2bc,disgust,,yes,none,-1,57728030edc2cb3880f07e00,disgust,,no,none,-1,57726f0dedc2cb3880b94625,trust,,yes,"face
body",1,57728703edc2cb3880061039,disgust,,yes,none,-2
worker_7,57728030edc2cb3880f07e00,anticipation,,57726f0dedc2cb3880b94625,love,,577284aeedc2cb3880fe8ca7,surprise,,57728500edc2cb3880ffb2bc,fear,,57728703edc2cb3880061039,fear,,577284aeedc2cb3880fe8ca7,surprise,,57728703edc2cb3880061039,fear,,57728500edc2cb3880ffb2bc,fear,,57726f0dedc2cb3880b94625,love,,57728030edc2cb3880f07e00,anticipation,,577284aeedc2cb3880fe8ca7,surprise,,yes,face,2,57728500edc2cb3880ffb2bc,fear,,yes,none,-3,57728030edc2cb3880f07e00,anticipation,,no,none,0,57726f0dedc2cb3880b94625,love,,yes,face,3,57728703edc2cb3880061039,fear,,yes,none,-3
worker_8,57728030edc2cb3880f07e00,"trust
optimism
anger
arrogance
pessimism
regret
anticipation
surprise",,57726f0dedc2cb3880b94625,"trust
love
fear
regret
anticipation
surprise",,577284aeedc2cb3880fe8ca7,"trust
anger
disgust
fear
disagreeableness
anticipation
surprise",,57728500edc2cb3880ffb2bc,"trust
gratitude
disgust
pessimism
anticipation
surprise",,57728703edc2cb3880061039,"trust
anger
disgust
anticipation
surprise",,577284aeedc2cb3880fe8ca7,"trust
anger
disgust
disagreeableness
anticipation
surprise",,57728703edc2cb3880061039,"trust
gratitude
arrogance
pessimism
regret
anticipation
surprise",,57728500edc2cb3880ffb2bc,"trust
love
fear
regret
anticipation
surprise",,57726f0dedc2cb3880b94625,"trust
love
sadness
anticipation
surprise",,57728030edc2cb3880f07e00,"trust
gratitude
arrogance
pessimism
sadness
anticipation
surprise",,577284aeedc2cb3880fe8ca7,"trust
anger
disgust
disagreeableness
anticipation
surprise",,yes,"face
body",1,57728500edc2cb3880ffb2bc,"trust
gratitude
pessimism
regret
anticipation
surprise",,yes,none,1,57728030edc2cb3880f07e00,"arrogance
pessimism
sadness
anticipation
surprise",,no,none,1,57726f0dedc2cb3880b94625,"trust
love
fear
anticipation
surprise",,yes,"face
body",1,57728703edc2cb3880061039,"trust
gratitude
arrogance
disgust
fear
anticipation
surprise",,yes,none,0
worker_9,57728030edc2cb3880f07e00,surprise,,57726f0dedc2cb3880b94625,happiness,,577284aeedc2cb3880fe8ca7,fear,,57728500edc2cb3880ffb2bc,surprise,,57728703edc2cb3880061039,surprise,,577284aeedc2cb3880fe8ca7,disagreeableness,,57728703edc2cb3880061039,happiness,,57728500edc2cb3880ffb2bc,humility,,57726f0dedc2cb3880b94625,love,,57728030edc2cb3880f07e00,humility,,577284aeedc2cb3880fe8ca7,disagreeableness,,yes,body,-3,57728500edc2cb3880ffb2bc,surprise,,yes,none,0,57728030edc2cb3880f07e00,surprise,,no,none,0,57726f0dedc2cb3880b94625,love,,yes,"face
body",1,57728703edc2cb3880061039,surprise,,yes,none,0
worker_10,57728030edc2cb3880f07e00,"humility
anticipation",,57726f0dedc2cb3880b94625,"trust
arrogance",,577284aeedc2cb3880fe8ca7,"anger
disgust
sadness
shame",,57728500edc2cb3880ffb2bc,"humility
surprise",,57728703edc2cb3880061039,"anticipation
surprise",,577284aeedc2cb3880fe8ca7,"fear
anticipation
surprise",,57728703edc2cb3880061039,trust,,57728500edc2cb3880ffb2bc,anticipation,,57726f0dedc2cb3880b94625,"happiness
love",,57728030edc2cb3880f07e00,surprise,,577284aeedc2cb3880fe8ca7,"anger
sadness
shame",,yes,"face
body",0,57728500edc2cb3880ffb2bc,"humility
happiness
love",,yes,none,2,57728030edc2cb3880f07e00,"humility
surprise",,no,none,1,57726f0dedc2cb3880b94625,"happiness
love",,yes,"face
body",0,57728703edc2cb3880061039,"anticipation
surprise",,yes,none,1
worker_11,57726f0fedc2cb3880b94ae6,"gratitude
humility
anticipation",,57727334edc2cb3880c7ea9a,"humility
happiness
optimism",,57726e8dedc2cb3880b76528,"pessimism
sadness
surprise",,57728095edc2cb3880f1c3f4,"anger
disgust
surprise",,5772850cedc2cb3880ffc52b,"happiness
optimism",,57726f0fedc2cb3880b94ae6,"regret
sadness
shame
anticipation",,5772850cedc2cb3880ffc52b,"happiness
optimism
surprise",,57726e8dedc2cb3880b76528,"humility
happiness
optimism",,57728095edc2cb3880f1c3f4,"happiness
optimism",,57727334edc2cb3880c7ea9a,"humility
happiness
optimism",,57728095edc2cb3880f1c3f4,"anger
disgust
sadness
surprise",,yes,none,1,57726f0fedc2cb3880b94ae6,"regret
sadness
shame",,yes,"face
body",3,57726e8dedc2cb3880b76528,"pessimism
sadness
surprise",,yes,"face
body",-3,5772850cedc2cb3880ffc52b,"happiness
optimism",,yes,none,2,57727334edc2cb3880c7ea9a,"humility
happiness
optimism",,yes,"face
body",2
worker_12,57726f0fedc2cb3880b94ae6,trust,,57727334edc2cb3880c7ea9a,trust,,57726e8dedc2cb3880b76528,trust,,57728095edc2cb3880f1c3f4,anticipation,,5772850cedc2cb3880ffc52b,anticipation,,57726f0fedc2cb3880b94ae6,trust,,5772850cedc2cb3880ffc52b,trust,,57726e8dedc2cb3880b76528,trust,,57728095edc2cb3880f1c3f4,anticipation,,57727334edc2cb3880c7ea9a,anticipation,,57728095edc2cb3880f1c3f4,anticipation,,yes,none,0,57726f0fedc2cb3880b94ae6,trust,,yes,face,2,57726e8dedc2cb3880b76528,anticipation,,yes,none,0,5772850cedc2cb3880ffc52b,anticipation,,yes,none,1,57727334edc2cb3880c7ea9a,happiness,,yes,face,2
